Polarization of Light 'Brewsters' Data File Wed, Nov 13, 2024 5:41 PM
Sensor Position (Degrees)	Light Intensity (Volts)
204.43333	4.29203
204.56667	4.29267
204.68333	4.29686
204.80000	4.29509
204.91667	4.29477
205.03333	4.29171
205.13333	4.28848
205.25000	4.29477
205.36667	4.29638
205.50000	4.29509
205.63333	4.28945
205.76667	4.29042
205.90000	4.29799
206.03333	4.29299
206.16667	4.29477
206.28333	4.29235
206.40000	4.29799
206.51667	4.29509
206.61667	4.29525
206.71667	4.29444
206.83333	4.29622
206.95000	4.29525
207.06667	4.28993
207.20000	4.29380
207.31667	4.29251
207.41667	4.29654
207.53333	4.29718
207.66667	4.28945
207.80000	4.29332
207.93333	4.29477
208.05000	4.29767
208.16667	4.29138
208.28333	4.29573
208.40000	4.29686
208.50000	4.29412
208.61667	4.29928
208.73333	4.29396
208.85000	4.29396
208.96667	4.29654
209.06667	4.29573
209.16667	4.29461
209.26667	4.29477
209.36667	4.29412
209.46667	4.29380
209.55000	4.29364
209.65000	4.29525
209.75000	4.28913
209.83333	4.29557
209.90000	4.29847
209.98333	4.29718
210.06667	4.29783
210.13333	4.29573
210.23333	4.29992
210.31667	4.29412
210.40000	4.29783
210.48333	4.29799
210.58333	4.29396
210.66667	4.29364
210.78333	4.29090
210.88333	4.29493
210.98333	3.37464
211.08333	3.77098
211.16667	4.29718
211.23333	4.29444
211.26667	4.29428
211.26667	4.29493
211.28333	4.29702
211.28333	4.29154
211.28333	4.29171
211.26667	4.29557
211.26667	4.29138
211.25000	4.29122
211.25000	4.29299
211.25000	4.29364
211.25000	4.29187
211.25000	3.50707
211.25000	2.17047
211.25000	1.92316
211.25000	1.93267
211.25000	2.01870
211.25000	2.01935
211.25000	2.12262
211.25000	2.08863
211.25000	2.11134
211.25000	2.08621
211.25000	2.12504
211.25000	2.19142
211.25000	2.36316
211.25000	2.38620
211.25000	2.60596
211.25000	2.75789
211.25000	3.16341
211.26667	3.82254
211.26667	4.29171
211.26667	4.29380
211.28333	4.28800
211.33333	4.28784
211.38333	4.29525
211.48333	4.28719
211.61667	4.28655
211.75000	4.29444
211.88333	4.28832
212.00000	4.29557
212.11667	4.29364
212.23333	4.28639
212.35000	4.29235
212.46667	4.29042
212.60000	4.29235
212.71667	4.29042
212.83333	4.29122
212.95000	4.25997
213.08333	4.04713
213.21667	4.28977
213.35000	4.28945
213.48333	4.29187
213.61667	4.29122
213.73333	4.29058
213.88333	4.28929
214.01667	4.29332
214.16667	4.29654
214.30000	4.29412
214.46667	4.29171
214.61667	4.29316
214.78333	4.29299
214.95000	4.29493
215.11667	4.29267
215.25000	4.29364
215.38333	4.29235
215.48333	4.29058
215.61667	4.29622
215.75000	4.29316
215.90000	4.29187
216.06667	4.29187
216.21667	4.29412
216.40000	2.76288
216.58333	1.22136
216.71667	1.52151
216.83333	2.55569
216.95000	3.41475
217.06667	4.28800
217.18333	4.28816
217.31667	4.29219
217.41667	4.28961
217.51667	4.29573
217.61667	4.29589
217.73333	4.29203
217.85000	3.45664
217.95000	1.77784
218.06667	0.70854
218.18333	0.66182
218.28333	0.64651
218.38333	0.76638
218.48333	0.97792
218.60000	1.29273
218.70000	1.93460
218.81667	2.68877
218.91667	4.28462
219.01667	4.28107
219.11667	4.28897
219.21667	4.29009
219.30000	4.28784
219.40000	4.28719
219.48333	4.28913
219.58333	4.29332
219.68333	4.29364
219.76667	4.13736
219.86667	3.30648
219.95000	2.97588
220.03333	2.56262
220.13333	2.43180
220.21667	2.18594
220.28333	1.98874
220.36667	2.04545
220.45000	2.00662
220.53333	2.31273
220.60000	2.55215
220.70000	3.14311
220.78333	3.89939
220.88333	4.13526
220.96667	3.95610
221.06667	4.28252
221.16667	4.29058
221.28333	4.28736
221.40000	4.28881
221.51667	4.29122
221.65000	4.29299
221.76667	4.28816
221.88333	4.29380
221.98333	4.29058
222.10000	4.28623
222.20000	4.29444
222.33333	4.29348
222.43333	4.28897
222.55000	3.39139
222.66667	2.50752
222.75000	2.10683
222.85000	2.06752
222.91667	2.32691
222.98333	4.29348
223.03333	4.29283
223.10000	4.28832
223.15000	4.29090
223.20000	4.29058
223.25000	4.28913
223.30000	4.29219
223.33333	4.28913
223.38333	4.28864
223.43333	4.28913
223.48333	4.28510
223.53333	3.14360
223.58333	1.83391
223.63333	0.97341
223.68333	0.75590
223.73333	0.61429
223.78333	0.57014
223.81667	0.58738
223.85000	0.57014
223.88333	0.61251
223.93333	0.66729
223.96667	0.72513
224.00000	0.77975
224.01667	0.81278
224.03333	0.84774
224.05000	0.87609
224.06667	0.90074
224.08333	0.93957
224.10000	0.95891
224.10000	1.01578
224.11667	1.09698
224.11667	1.12163
224.13333	1.19397
224.13333	1.20299
224.13333	1.27646
224.15000	1.42452
224.15000	1.77204
224.15000	2.22734
224.15000	2.43599
224.15000	2.57358
224.15000	2.53185
224.15000	2.44259
224.15000	2.46805
224.15000	1.96570
224.15000	1.20073
224.16667	1.18656
224.16667	1.20589
224.16667	1.19477
224.16667	1.19058
224.16667	1.20299
224.16667	1.18656
224.16667	1.18253
224.16667	1.16610
224.16667	1.16722
224.16667	1.16287
224.16667	1.16094
224.16667	1.15675
224.16667	1.15627
224.16667	1.15530
224.16667	1.15401
224.16667	1.15901
224.16667	1.15482
224.16667	1.14660
224.16667	1.15095
224.16667	1.14338
224.16667	1.14273
224.16667	1.14064
224.16667	1.13983
224.16667	1.14773
224.16667	1.14273
224.16667	1.14064
224.16667	1.14000
224.16667	1.13774
224.16667	1.13516
224.16667	1.12952
224.16667	1.12453
224.16667	1.13017
224.16667	1.12582
224.16667	1.13484
224.16667	1.13001
224.16667	1.12791
224.16667	1.12662
224.16667	1.13822
224.16667	1.13081
224.16667	1.13226
224.16667	1.13436
224.16667	1.13226
224.16667	1.11551
224.16667	1.13516
224.16667	1.13500
224.16667	1.12952
224.16667	1.14402
224.16667	1.15160
224.16667	1.15063
224.16667	1.14966
224.16667	1.18382
224.16667	1.20412
224.16667	1.20202
224.16667	1.19010
224.16667	1.20251
224.16667	1.07088
224.16667	1.08747
224.16667	1.07168
224.16667	1.09118
224.16667	1.08715
224.18333	1.33977
224.18333	3.43022
224.18333	4.27076
224.18333	2.45371
224.18333	1.90270
224.18333	1.14064
224.18333	1.11261
224.18333	1.04381
224.18333	1.02045
224.18333	1.03833
224.18333	1.04188
224.18333	1.05428
224.18333	1.04945
224.18333	1.03366
224.18333	1.01384
224.18333	1.00933
224.18333	0.86578
224.18333	0.62315
224.18333	0.41177
224.18333	0.32042
224.18333	0.30689
224.18333	0.25839
224.18333	0.20071
224.18333	0.19379
224.20000	0.19443
224.20000	0.19201
224.20000	0.16785
224.20000	0.14964
224.20000	0.14013
224.21667	0.14497
224.23333	0.13224
224.23333	0.14158
224.25000	0.13562
224.26667	0.16221
224.28333	0.18090
224.28333	0.21795
224.30000	0.25984
224.30000	0.28497
224.31667	0.36295
224.31667	0.62879
224.31667	0.82019
224.33333	0.81970
224.33333	0.80649
224.33333	0.80617
224.33333	0.80778
224.35000	0.77105
224.35000	0.77749
224.35000	0.76042
224.35000	0.77943
224.36667	0.80198
224.36667	0.83179
224.38333	0.79377
224.38333	0.81519
224.40000	0.79344
224.40000	0.80649
224.41667	0.79167
224.41667	0.78764
224.45000	0.75478
224.46667	0.75735
224.50000	0.70950
224.53333	0.66488
224.56667	0.63862
224.61667	0.60543
224.70000	0.62411
224.81667	0.77556
224.91667	0.78716
225.00000	0.97083
225.11667	1.01787
225.18333	1.13693
225.28333	1.18736
225.36667	1.00901
225.45000	0.82373
225.55000	0.68357
225.65000	0.58899
225.75000	0.52423
225.85000	0.57449
225.93333	0.61686
226.01667	0.71724
226.10000	0.77089
226.15000	0.81036
226.20000	0.82889
226.26667	0.80488
226.31667	0.80730
226.38333	0.71273
226.45000	0.72513
226.51667	0.74720
226.60000	0.81326
226.68333	0.94441
226.73333	1.40535
226.80000	1.34396
226.85000	1.24923
226.90000	1.08345
226.95000	0.91702
227.01667	0.80569
227.06667	0.70354
227.13333	0.60510
227.21667	0.53293
227.26667	0.48604
227.35000	0.42820
227.41667	0.39646
227.50000	0.36859
227.58333	0.34990
227.65000	0.37777
227.71667	0.39469
227.78333	0.43739
227.83333	0.48943
227.91667	0.61686
227.98333	0.82115
228.05000	1.01062
228.11667	1.97005
228.18333	2.27664
228.25000	3.08044
228.31667	3.57716
228.36667	4.03182
228.43333	4.27527
228.50000	4.27495
228.55000	4.27350
228.60000	4.11254
228.65000	3.91034
228.71667	3.90390
228.76667	3.89923
228.81667	3.98752
228.88333	3.97721
228.95000	3.91679
229.01667	3.74810
229.10000	3.43634
229.16667	3.36303
229.25000	3.07400
229.31667	2.98780
229.38333	2.78673
229.46667	2.46321
229.55000	2.25602
229.61667	2.36703
229.68333	2.09845
229.76667	1.90850
229.83333	1.71855
229.90000	1.71275
229.96667	1.90641
230.01667	2.16548
230.08333	2.47642
230.11667	2.83394
230.16667	3.06626
230.23333	3.26153
230.28333	3.40605
230.33333	3.51948
230.40000	3.54219
230.45000	3.41411
230.51667	3.31760
230.56667	3.02840
230.61667	2.79285
230.68333	2.51622
230.73333	2.06849
230.78333	1.92961
230.81667	1.72177
230.86667	1.81490
230.91667	1.95877
230.95000	2.22944
230.98333	2.40618
231.03333	2.65929
231.06667	2.85424
231.10000	3.03227
231.15000	3.17711
231.20000	3.32533
231.25000	3.45793
231.30000	3.60487
231.35000	3.65884
231.40000	3.69687
231.43333	3.73698
231.48333	3.70315
231.53333	3.62146
231.58333	3.55879
231.65000	3.35369
231.70000	3.18678
231.76667	3.24381
231.83333	3.29037
231.88333	3.21207
231.95000	3.08817
232.00000	3.21255
232.08333	3.30697
232.15000	3.55412
232.21667	3.70621
232.30000	3.65127
232.36667	3.68462
232.41667	3.74858
232.48333	3.73892
232.56667	3.66609
232.65000	3.39026
232.73333	3.25074
232.81667	3.08753
232.88333	3.36883
232.95000	3.51706
233.01667	3.70734
233.08333	3.76759
233.15000	3.81093
233.23333	3.70347
233.33333	3.45229
233.40000	3.15536
233.48333	2.85504
233.55000	2.49608
233.60000	2.18723
233.66667	1.89497
233.75000	1.73031
233.81667	1.50346
233.90000	1.53907
233.98333	1.74819
234.06667	2.24233
234.13333	2.43196
234.21667	2.57309
234.30000	2.69892
234.36667	2.64044
234.43333	2.60596
234.50000	2.41101
234.56667	2.08202
234.61667	1.77349
234.68333	1.47414
234.76667	1.13532
234.85000	0.90880
234.93333	0.77202
235.01667	0.74189
235.10000	0.67986
235.20000	0.80198
235.30000	0.78442
235.38333	0.68050
235.48333	0.60913
235.56667	0.72094
235.66667	0.83437
235.75000	1.27855
235.83333	1.58789
235.91667	1.98116
236.03333	2.20720
236.13333	2.14792
236.23333	1.89126
236.35000	1.93186
236.46667	2.22605
236.60000	2.94527
236.73333	3.13361
236.88333	3.07416
237.01667	3.24268
237.15000	3.05627
237.26667	2.53571
237.40000	1.69744
237.53333	1.22087
237.65000	0.90654
237.78333	1.05912
237.90000	1.00901
238.01667	1.04268
238.13333	1.26051
238.25000	1.55776
238.35000	1.96682
238.48333	2.51026
238.58333	2.78528
238.70000	2.89806
238.81667	2.90740
238.93333	2.86970
239.03333	2.87647
239.13333	2.86503
239.21667	2.78286
239.31667	2.55795
239.41667	2.72035
239.53333	2.74951
239.65000	2.76095
239.75000	2.62191
239.86667	2.29952
239.96667	1.97214
240.05000	1.73015
240.16667	1.75738
240.26667	1.96554
240.35000	2.28373
240.45000	2.45274
240.53333	2.60290
240.61667	2.64737
240.71667	2.59420
240.81667	2.41472
240.91667	2.16918
241.00000	1.99067
241.10000	2.25779
241.20000	2.44034
241.28333	2.50285
241.38333	2.52814
241.46667	2.44855
241.58333	2.34367
241.66667	2.00404
241.78333	1.99228
241.88333	2.29952
241.98333	2.10280
242.08333	1.88321
242.18333	1.52521
242.28333	1.31432
242.38333	1.08731
242.48333	0.83759
242.58333	0.75993
242.68333	0.68373
242.78333	0.67245
242.90000	0.84387
243.01667	0.97034
243.10000	1.17850
243.20000	1.36990
243.31667	1.59900
243.41667	1.48913
243.55000	1.85872
243.66667	2.16693
243.78333	2.51364
243.90000	2.59694
244.00000	2.63383
244.10000	2.62223
244.20000	2.47675
244.28333	2.32482
244.36667	2.09410
244.45000	1.86838
244.51667	1.75544
244.60000	1.90947
244.68333	1.99067
244.76667	2.12214
244.85000	2.08283
244.91667	2.39007
245.01667	2.48126
245.10000	2.49109
245.18333	2.51944
245.28333	2.42487
245.36667	2.28776
245.45000	2.07380
245.51667	1.87870
245.58333	1.83890
245.66667	2.08975
245.75000	2.22106
245.83333	2.28277
245.91667	2.38846
246.01667	2.40167
246.10000	2.38991
246.20000	2.30919
246.28333	2.21800
246.36667	2.31225
246.45000	2.37363
246.53333	2.38975
246.60000	2.38894
246.66667	2.36993
246.73333	2.33996
246.80000	2.19560
246.90000	1.84712
246.98333	1.45642
247.08333	1.15111
247.18333	0.97453
247.28333	0.94586
247.40000	0.82148
247.48333	0.75558
247.58333	0.91363
247.68333	1.09650
247.80000	0.99806
247.90000	0.90429
248.01667	0.84532
248.13333	0.85467
248.25000	0.99548
248.36667	0.63314
248.50000	0.61139
248.61667	0.71160
248.75000	0.59656
248.88333	0.45479
249.01667	0.55000
249.13333	0.57788
249.25000	0.53969
249.35000	0.64039
249.45000	0.81052
249.55000	0.96938
249.65000	1.21717
249.75000	1.47382
249.86667	1.81651
249.96667	2.23250
250.06667	2.34318
250.16667	2.38056
250.26667	2.35156
250.35000	2.20833
250.45000	1.98374
250.56667	1.71066
250.66667	1.50733
250.76667	1.21797
250.86667	0.95294
250.95000	0.83646
251.05000	0.89688
251.15000	1.11647
251.25000	1.34574
251.35000	1.39923
251.43333	1.76447
251.53333	1.62865
251.61667	1.59272
251.70000	1.56227
251.78333	1.72483
251.86667	1.94475
251.95000	2.26972
252.03333	2.29711
252.13333	2.16870
252.25000	2.32627
252.35000	2.33046
252.45000	2.30403
252.55000	2.23008
252.66667	2.06108
252.80000	2.04271
252.91667	1.95539
253.05000	1.24311
253.20000	1.01916
253.35000	0.85918
253.51667	0.85950
253.66667	0.59963
253.83333	0.55693
253.98333	0.60881
254.13333	0.56466
254.28333	0.60365
254.41667	0.81262
254.55000	1.03576
254.68333	1.30578
254.80000	1.65620
254.91667	2.03707
255.03333	2.18803
255.15000	2.21913
255.26667	2.11746
255.36667	1.88691
255.48333	1.60094
255.58333	1.30932
255.68333	1.03479
255.78333	0.81616
255.88333	0.65811
255.98333	0.53905
256.08333	0.48604
256.18333	0.44850
256.28333	0.49909
256.40000	0.45688
256.50000	0.53341
256.60000	0.62428
256.68333	0.63330
256.76667	0.60897
256.85000	0.70693
256.95000	0.72545
257.05000	0.79699
257.15000	0.66842
257.23333	0.62121
257.33333	0.59576
257.41667	0.76557
257.51667	1.09988
257.61667	1.62430
257.73333	1.36426
257.83333	1.50234
257.93333	1.64959
258.03333	1.70469
258.13333	1.78573
258.25000	1.69229
258.36667	1.37039
258.48333	1.05235
258.61667	0.77669
258.73333	0.59995
258.86667	0.46236
258.96667	0.39437
259.06667	0.35441
259.15000	0.43433
259.25000	0.48556
259.35000	0.58061
259.43333	0.63958
259.53333	0.94006
259.63333	0.98919
259.73333	1.38650
259.85000	1.61995
259.96667	1.95748
260.08333	2.04464
260.21667	1.68310
260.33333	1.72354
260.45000	1.92574
260.55000	1.79443
260.65000	1.99856
260.76667	2.00420
260.86667	1.95442
260.96667	1.99615
261.05000	2.04593
261.13333	1.95313
261.20000	2.03755
261.28333	2.06301
261.35000	2.07010
261.41667	2.06494
261.50000	1.89432
261.60000	1.66828
261.68333	1.28065
261.76667	0.98307
261.85000	0.81858
261.93333	0.77169
262.03333	0.73770
262.13333	0.57820
262.21667	0.55194
262.30000	0.47122
262.38333	0.42305
262.46667	0.40742
262.55000	0.44899
262.63333	0.38825
262.71667	0.35973
262.81667	0.41483
262.91667	0.41886
263.00000	0.47380
263.10000	0.51810
263.18333	0.58980
263.26667	0.71853
263.35000	0.84645
263.43333	1.00450
263.53333	1.19171
263.61667	1.39197
263.68333	1.57903
263.76667	1.76511
263.83333	1.94201
263.88333	2.02805
263.96667	1.95974
264.05000	1.80249
264.13333	1.50991
264.23333	1.13581
264.33333	0.80327
264.43333	0.54082
264.53333	0.53148
264.61667	0.45849
264.70000	0.44158
264.78333	0.49313
264.90000	0.57449
264.98333	0.72545
265.06667	0.83195
265.15000	0.98807
265.21667	1.13581
265.30000	1.31883
265.36667	1.52747
265.45000	1.79524
265.53333	1.98068
265.63333	2.08637
265.73333	2.13003
265.81667	2.13825
265.90000	2.07686
266.00000	1.96280
266.06667	1.78171
266.16667	1.53101
266.23333	1.34880
266.31667	1.21088
266.40000	1.07249
266.46667	0.99209
266.53333	1.19510
266.61667	1.47688
266.68333	1.81506
266.78333	1.83616
266.88333	2.08492
266.98333	2.09410
267.08333	2.13664
267.18333	2.09990
267.28333	2.11344
267.38333	2.09378
267.48333	2.08750
267.60000	2.01032
267.68333	1.98197
267.76667	1.96280
267.85000	1.82408
267.93333	1.68439
267.98333	1.53891
268.06667	1.39471
268.15000	1.21507
268.25000	1.07732
268.33333	0.88479
268.43333	0.78120
268.51667	0.91428
268.60000	1.56759
268.68333	1.79911
268.76667	2.03352
268.85000	2.01806
268.93333	2.01886
269.01667	2.00823
269.11667	1.99760
269.21667	1.96747
269.30000	1.87306
269.40000	1.91076
269.50000	1.77655
269.61667	1.84486
269.73333	1.90109
269.83333	1.93106
269.95000	1.96151
270.05000	1.93492
270.15000	1.83036
270.23333	1.64847
270.31667	1.47205
270.40000	1.28709
270.46667	1.11003
270.55000	0.93216
270.63333	0.77250
270.71667	0.66391
270.80000	0.57320
270.88333	0.64232
270.96667	0.68985
271.06667	0.74221
271.15000	1.05380
271.26667	1.29192
271.36667	1.44627
271.46667	1.52731
271.53333	1.64702
271.61667	1.35121
271.68333	1.01014
271.76667	0.78603
271.85000	0.50248
271.91667	0.33701
272.01667	0.04073
272.10000	-0.00019
272.20000	-0.00035
272.28333	-0.00454
272.36667	-0.00197
272.43333	-0.00309
272.46667	-0.00277
272.45000	-0.00100
272.45000	-0.00100
272.43333	-0.00454
272.43333	-0.00519
272.43333	-0.00229
272.41667	-0.00132
272.41667	0.00045
272.41667	0.00013
272.41667	-0.00325
272.41667	-0.00325
272.41667	-0.00100
272.41667	-0.00197
272.41667	-0.00100
272.41667	-0.00615
272.41667	-0.00148
272.41667	-0.00197
272.41667	-0.00164
272.41667	-0.00390
272.40000	-0.00454
272.40000	-0.00583
272.40000	-0.00438
272.40000	-0.00197
272.40000	-0.00342
272.40000	-0.00615
272.40000	-0.00567
272.40000	-0.00116
272.40000	-0.00487
272.40000	-0.00293
272.40000	-0.00197
272.40000	-0.00180
272.40000	-0.00116
272.40000	-0.00374
272.40000	-0.00261
272.40000	-0.00438
272.40000	-0.00019
272.40000	-0.00406
272.40000	-0.00019
272.40000	-0.00245
272.40000	0.00029
272.40000	-0.00035
272.40000	-0.00245
272.40000	-0.00325
272.40000	0.00045
272.40000	-0.00052
272.40000	-0.00261
272.40000	-0.00132
272.40000	-0.00100
272.40000	-0.00132
272.40000	-0.00003
272.40000	-0.00180
272.40000	-0.00084
272.40000	-0.00374
272.40000	-0.00003
272.40000	-0.00052
272.40000	-0.00068
272.40000	-0.00132
272.40000	-0.00406
272.40000	-0.00116
272.40000	-0.00148
272.38333	-0.00068
272.38333	-0.00003
272.38333	-0.00035
272.38333	-0.00019
272.38333	-0.00438
272.38333	-0.00132
272.38333	-0.00116
272.38333	-0.00213
272.38333	-0.00164
272.38333	-0.00052
272.38333	-0.00342
272.38333	-0.00068
